13786 	 PROCESS-07	07	02-6-2017 01:34:09	324	5.8	11653
13958 	 PROCESS-07	07	02-6-2017 01:35:20	458	7.1	11356
14311 	 PROCESS-07	07	02-6-2017 01:38:09	282	5.8	11726
14460 	 PROCESS-07	07	02-6-2017 01:39:10	276	5.8	11615
14606 	 PROCESS-07	07	02-6-2017 01:40:44	143	5.5	11570
14755 	 PROCESS-07	07	02-6-2017 01:42:15	171	7.1	11423
14884 	 PROCESS-07	07	02-6-2017 01:43:14	227	5.7	11354
15010 	 PROCESS-07	07	02-6-2017 01:44:23	189	5.7	11469
15199 	 PROCESS-07	07	02-6-2017 01:46:36	306	5.8	11944
15360 	 PROCESS-07	07	02-6-2017 01:47:46	269	5.7	11367
