20590 	 PROCESS-01	01	01-6-2017 04:26:15	257	2.6 	9572
20873 	 PROCESS-01	01	01-6-2017 04:34:51	219	2.2	9797
21086 	 PROCESS-01	01	01-6-2017 04:36:21	241	2.3	10213
21233 	 PROCESS-01	01	01-6-2017 04:37:44	179	1.9	9816
21376 	 PROCESS-01	01	01-6-2017 04:39:30	181	1.9	9558
21540 	 PROCESS-01	01	01-6-2017 04:41:21	288	2.7	9715
21697 	 PROCESS-01	01	01-6-2017 04:42:40	242	2.7	9145
21867 	 PROCESS-01	01	01-6-2017 04:45:43	195	2.3	9258
21998 	 PROCESS-01	01	01-6-2017 04:47:03	118	2.6	9370
22281 	 PROCESS-01	01	01-6-2017 04:51:39	119	3.4	9263
