21478 	 PROCESS-06	06	02-6-2017 08:29:14	269	2.4	100446
22056 	 PROCESS-06	06	02-6-2017 08:32:32	262	2.2	100880
22658 	 PROCESS-06	06	02-6-2017 08:35:52	307	2.3	104061
23705 	 PROCESS-06	06	02-6-2017 08:41:55	71.5	2.5	103381
24269 	 PROCESS-06	06	02-6-2017 08:44:27	134	2.3	99248
25084 	 PROCESS-06	06	02-6-2017 08:47:46	181	2.0	105000
25611 	 PROCESS-06	06	02-6-2017 08:50:15	147	2.3	99017
27013 	 PROCESS-06	06	02-6-2017 09:22:35	259	2.1	106845
27607 	 PROCESS-06	06	02-6-2017 09:26:15	274	2.1	100321
28145 	 PROCESS-06	06	02-6-2017 09:28:55	139	2.4	97647
