27596 	 PROCESS-03	03	01-6-2017 06:14:50	223	2.0	70203
28060 	 PROCESS-03	03	01-6-2017 06:16:50	134	2.1	70834
28658 	 PROCESS-03	03	01-6-2017 06:21:33	205	2.2	70936
29202 	 PROCESS-03	03	01-6-2017 06:23:57	191	2.0	70619
29733 	 PROCESS-03	03	01-6-2017 06:26:08	230	2.3	70778
30165 	 PROCESS-03	03	01-6-2017 06:28:16	268	2.3	71761
30623 	 PROCESS-03	03	01-6-2017 06:30:11	127	2.2	71082
31154 	 PROCESS-03	03	01-6-2017 06:32:21	244	2.2	70489
31604 	 PROCESS-03	03	01-6-2017 06:34:46	309	2.3	70963
32011 	 PROCESS-03	03	01-6-2017 06:37:01	181	2.0	71232
