17510 	 PROCESS-08	08	02-6-2017 02:20:05	139	9.3	23657
17700 	 PROCESS-08	08	02-6-2017 02:21:25	306	9.3	23099
17884 	 PROCESS-08	08	02-6-2017 02:22:35	171	9.1	23408
18154 	 PROCESS-08	08	02-6-2017 02:24:56	169	9.2	23155
18369 	 PROCESS-08	08	02-6-2017 02:27:14	186	9.8	23311
18554 	 PROCESS-08	08	02-6-2017 02:28:41	169	9.2	23137
18762 	 PROCESS-08	08	02-6-2017 02:30:05	173	9.8	23264
18988 	 PROCESS-08	08	02-6-2017 02:33:19	282	9.3	22839
19171 	 PROCESS-08	08	02-6-2017 02:34:33	146	9.2	22660
19401 	 PROCESS-08	08	02-6-2017 02:36:20	181	9.1	23613
